"Cantitatea de precipitatii pe luni, 2002-2023"

"Luni","Chisinau 2014","Chisinau 2015","Chisinau 2016","Chisinau 2017","Chisinau 2018","Chisinau 2019","Chisinau 2020","Chisinau 2021","Chisinau 2022","Chisinau 2023"
"Ianuarie",63,27,42,23,32,83,9,39,13,25
"Februarie",9,34,20,32,55,29,23,43,6,17
"Martie",16,58,41,23,103,1,19,36,16,27
"Aprilie",41,47,40,127,4,34,4,39,73,133
"Mai",86,15,99,58,18,34,69,101,21,13
"Iunie",36,36,159,73,151,82,86,86,7,20
"Iulie",85,41,7,78,121,33,85,114,83,61
"August",54,9,31,22,1,47,5,118,81,2
"Septembrie",16,26,18,16,53,10,75,6,35,15
"Octombrie",43,63,139,76,2,20,81,1,12,9
"Noiembrie",121,73,37,34,47,6,32,12,69,94
"Decembrie",34,2,11,73,22,24,74,71,28,14
