"Viteza medie lunara a vintului, 2002-2023"

"Luni","Chisinau 2014","Chisinau 2015","Chisinau 2016","Chisinau 2017","Chisinau 2018","Chisinau 2019","Chisinau 2020","Chisinau 2021","Chisinau 2022","Chisinau 2023"
"Ianuarie",2.5,3.2,3.0,3.3,2.6,3.0,3.0,2.8,4.0,3.2
"Februarie",2.0,2.8,3.4,2.9,2.7,3.4,3.8,3.2,2.9,3.6
"Martie",3.5,2.8,3.1,3.4,2.8,3.6,3.5,3.4,3.1,3.4
"Aprilie",2.7,4.0,2.9,3.7,3.3,2.9,3.2,2.7,3.6,3.5
"Mai",2.2,2.9,2.4,2.6,2.6,3.1,3.4,2.9,2.8,2.5
"Iunie",2.8,2.7,2.5,2.9,2.5,2.7,2.3,3.1,2.8,2.6
"Iulie",2.7,2.7,2.9,2.7,2.4,2.6,2.7,2.3,2.9,2.8
"August",2.6,2.0,2.7,2.5,2.3,2.5,2.5,2.6,2.6,2.3
"Septembrie",2.6,2.9,2.2,2.5,2.9,2.7,2.8,2.5,2.6,2.3
"Octombrie",2.4,2.3,3.2,3.2,2.7,2.2,2.2,2.5,2.6,3.0
"Noiembrie",2.6,3.2,3.4,2.4,2.3,3.1,2.2,2.9,2.6,3.5
"Decembrie",3.1,2.8,3.5,3.2,3.2,3.3,2.8,3.5,2.7,2.7
